Time;Open;High;Low;Last;Change;Volume;Open Int
5/28/19;19,317;19,317;19,317;19,317;0,416;325;21403
5/27/19;18,901;18,901;18,901;18,901;-0,124;375;21393
5/24/19;19,025;19,025;19,025;19,025;-0,166;30;21378
5/23/19;19,191;19,191;19,191;19,191;-0,076;586;21503
5/22/19;19,267;19,267;19,267;19,267;0,11;755;21503
5/21/19;19,157;19,157;19,157;19,157;0,058;325;21463
5/20/19;19,099;19,099;19,099;19,099;-0,03;1011;21182
5/17/19;19,129;19,129;19,129;19,129;-0,117;685;21087
5/16/19;19,246;19,246;19,246;19,246;-0,306;606;21051
5/15/19;19,552;19,552;19,552;19,552;0,24;2560;21386
5/14/19;19,312;19,312;19,312;19,312;0,204;1090;21206
5/13/19;19,108;19,108;19,108;19,108;0,046;380;21096
5/10/19;19,062;19,062;19,062;19,062;-0,395;870;20766
5/9/19;19,457;19,457;19,457;19,457;-0,191;1706;19975
5/8/19;19,648;19,648;19,648;19,648;-0,037;1744;19190
5/7/19;19,685;19,685;19,685;19,685;0,195;1803;18650
5/6/19;19,49;19,49;19,49;19,49;-0,063;1181;18714
5/3/19;19,553;19,553;19,553;19,553;0,52;0;18714
5/2/19;19,033;19,033;19,033;19,033;-0,189;475;18686
5/1/19;19,222;19,222;19,222;19,222;-0,414;965;18609
4/30/19;19,636;19,636;19,636;19,636;-0,35;490;18614
4/29/19;19,986;19,986;19,986;19,986;-0,049;340;18664
4/26/19;20,035;20,035;20,035;20,035;-0,309;610;18679
4/25/19;20,344;20,344;20,344;20,344;0,196;415;18584
4/24/19;20,148;20,148;20,148;20,148;-0,011;510;18504
4/23/19;20,159;20,159;20,159;20,159;0,277;1135;18329
4/22/19;19,882;19,882;19,882;19,882;0;705;18114
4/18/19;19,882;19,882;19,882;19,882;-0,201;0;18114
4/17/19;20,083;20,083;20,083;20,083;0,358;230;18089
4/16/19;19,725;19,725;19,725;19,725;-0,074;215;18134
4/15/19;19,799;19,799;19,799;19,799;-0,292;445;18059
4/12/19;20,091;20,091;20,091;20,091;-0,177;355;18101
4/11/19;20,268;20,268;20,268;20,268;0,142;670;18101
4/10/19;20,126;20,126;20,126;20,126;-0,083;1361;18396
4/9/19;20,209;20,209;20,209;20,209;0,467;2426;18784
4/8/19;19,742;19,742;19,742;19,742;-0,547;1586;18369
4/5/19;20,289;20,289;20,289;20,289;0,768;1427;18228
